id,标题,评分,上映日期,海报,主演,地区,电影类型,评论人数
27113517,血观音,8.6,2017-10-15,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2561016941.jpg,"惠英红, 吴可熙, 文淇, 柯佳嬿, 陈莎莉, 丁强, 刘尚谦, 林志儒, 王月, 温贞菱, 王伟六, 陈珮骐, 尹昭德, 大久保麻梨子, 巫书维, 颜毓麟, 刘越逖, 傅子纯, 陈武康, 施名帅, 秀兰玛雅, 应朗丰, 李铨, 陈子见, 张扬, 王伟六",中国台湾,"剧情, 悬疑",482991
30257175,燃烧女子的肖像,8.7,2019-05-19,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2584308261.jpg,"诺米·梅兰特, 阿黛拉·哈内尔, 卢安娜·巴杰拉米, 瓦莱丽亚·戈利诺, 克里斯特尔·巴拉斯, 阿曼德·博兰格, 盖·德拉玛什, 米歇尔·克莱门特, 克莱门特·布依索, 塞西尔·莫雷尔",法国,"剧情, 爱情, 同性",231295
4798888,叫我第一名,8.7,2008-12-07,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p628364149.jpg,"詹姆斯·沃克, 特里特·威廉斯, 多米尼克·斯科特·凯伊, 莎拉·德鲁, 凯瑟琳·约克, 乔·克里斯特, 帕翠西亚·希顿, 约翰尼·帕卡, Charlie Finn, 尼古拉斯·斯塔格尔, Katherine Shepler, Lori Beth Denberg, Derek Wayne Johnson, 查尔斯·亨利·维森",美国,"剧情, 传记",202185
1292288,公民凯恩,8.8,1941-09-05,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1474928139.jpg,"奥逊·威尔斯, 约瑟夫·科顿, 多萝西·康明戈尔, 阿格妮丝·摩尔海德, 埃弗雷特·斯隆, 哈里·香农, 雷·柯林斯, 鲁斯·沃里克, 保罗·斯图尔特",美国,"剧情, 悬疑",123651
26614893,完美陌生人,8.5,2018-05-25,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2522331945.jpg,"马可·贾利尼, 卡夏·斯穆特尼亚克, 爱德华多·莱奥, 阿尔芭·罗尔瓦赫尔, 瓦莱里奥·马斯坦德雷亚, 安娜·福列塔, 朱塞佩·巴蒂斯通, 贝内黛塔·波尔卡罗利, 伊丽莎白·德·帕罗奥",意大利,"剧情, 喜剧",528965
1853621,落叶归根,8.5,2007-01-19,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p1298673351.jpg,"赵本山, 郭德纲, 洪启文, 宋丹丹, 胡军, 廖凡, 午马, 郭涛, 夏雨, 孙海英, 刘金山, 付立加, 张镝, 刘园媛, 刘波, 纳伊莎","中国大陆, 中国香港","剧情, 喜剧",222685
1301168,卧虎藏龙,8.4,2000-10-13,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2908175252.jpg,"周润发, 杨紫琼, 章子怡, 张震, 郎雄, 郑佩佩, 李法曾, 高西安, 海燕, 王德明, 李黎, 黄素影, 张金庭, 杨蕊, 李凯, 冯建华, 杜振西, 徐成林, 林峰, 王文升, 宋东, 马中轩, 李保成, 杨永德, 张少军, 马宁, 褚建民, 董长生, 徐怡, 斌子, 张少成, 魏晶琦, 黄伟辉, 林志泰, 陈少华","中国台湾, 中国香港, 美国, 中国大陆","剧情, 爱情, 武侠",500705
1766086,太阳照常升起,8.4,2007-09-21,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p453675494.jpg,"房祖名, 周韵, 姜文, 黄秋生, 陈冲, 孔维, 崔健, 李加民",中国大陆,"剧情, 奇幻",314711
3236904,自闭历程,8.9,2010-02-06,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p583188016.jpg,"克莱尔·丹尼斯, 朱莉娅·奥蒙德, 凯瑟琳·欧哈拉, 大卫·斯特雷泽恩, 巴瑞·塔布, 谢拉米·李, 查尔斯·贝克, 布莱尔·波马尔, 梅丽莎·法曼, 科洛·埃文斯, 辛蒂·威廉斯",美国,"剧情, 传记",70418
6537486,登堂入室,8.5,2012-10-10,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1581587840.jpg,"法布莱斯·鲁奇尼, 恩斯特·吴默埃, 克里斯汀·斯科特·托马斯, 艾玛纽尔·塞尼耶, 德尼·梅诺谢, 巴斯蒂安·乌盖托, 让-弗朗索瓦·巴尔梅, 友兰达·梦露, 麦赫迪·麦斯卡尔, 让娜·比蒂诺娃, 文森特·施米特",法国,"剧情, 悬疑",176150
1306506,阿Q正传,8.8,1981,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2700219205.jpg,"严顺开, 王苏娅, 李纬, 孙道临, 六小龄童, 李定保, 梁明, 温锡莹, 曹铎, 朱莎, 杨宝河, 李兰发, 史原, 许守钦, 张幼云, 强明, 阙云祥, 陈希, 周志清, 金一康, 张琦军, 倪以临, 袁岳, 包福明",中国大陆,剧情,40725
26952704,巴斯特·斯克鲁格斯的歌谣,8.5,2018-08-31,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2539127687.jpg,"哈利·米尔林, 佐伊·卡赞, 连姆·尼森, 詹姆斯·弗兰科, 大卫·克朗姆霍茨, 汤姆·威兹, 克兰西·布朗, 蒂姆·布雷克·尼尔森, 布莱丹·格里森, 比尔·赫克, 斯蒂芬·鲁特, 泰恩·黛莉, 拉尔夫·伊内森, 切尔西·罗斯, 绍尔·鲁宾内克, 琼乔·奥雷尔, 马修·维利希, 杰西·卢肯, 保罗·瑞, 葛人杰·海恩斯, 杰弗森·梅斯, 山姆·狄龙, 比利·洛克伍德, 汤姆·普罗克特, E·E·贝尔, 丹尼·麦卡锡, 杰克莫·巴泽尔, 伊索·阿克瑞恩",美国,"剧情, 喜剧, 爱情, 西部, 悬疑, 歌舞",143770
1294252,雾中风景,9.0,1988-08-31,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1117765592.jpg,"米哈利斯·齐克, 塔尼娅·帕拉依奥罗葛, 斯特拉托斯·楚措格卢, 伊娃·科塔曼尼多, 阿利基·耶奥古利, 瓦西利斯·科洛沃斯, 伊利亚斯·洛戈塞蒂斯, 万格利斯·卡赞, 斯特拉托斯·帕希斯, 米哈利斯·扬纳托斯, 基里亚科斯·卡特里瓦诺斯, 格里戈里斯·埃万耶拉托斯, 扬尼斯·菲里奥斯, 苏格拉底·阿拉富佐斯, 季米特里斯·卡比里迪斯, 塔索斯·帕拉兹迪斯, 耶拉西莫斯·斯奇戴尔西斯, 陶拉·斯塔索普洛斯, Nina Papazaphiropoulou","希腊, 法国, 意大利",剧情,51001
